"","Player","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD.x","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk.x","Sk_Yds","NY/A","ANY/A","Sk%","4QC","GWD","FF","Fmb","FR","FmYds","TD.y","Coll.Comp","Coll.Att","Coll.TD","Coll.Int","Coll.Yds","Coll.Fum","Coll.FumL","Coll.Comp.Pct","games","games_started","Year","Rnd","Pick","Tm","fumb_lost","coll_int_pct","int_pct","fumb_lost_game"
"33","Matt Ryan",158,158,"95-63-0",3630,5593,64.9,41796,260,4.6,126,2.3,90,7.5,7.4,11.5,264.5,93.4,279,1834,6.81,6.73,4.8,26,35,0,53,14,-51,0,807,1347,56,37,9313,15,7,0.599109131403118,158,158,"2008","1","3","ATL",39,0.0274684484038604,0.023,0.246835443037975
"34","Chad Henne",67,53,"18-35-0",1159,1956,59.3,12931,58,3,63,3.2,81,6.6,5.8,11.2,193,75.5,149,938,5.7,4.9,7.1,4,5,0,17,9,-35,0,828,1387,87,37,9715,19,8,0.596971881759192,67,53,"2008","2","57","MIA",8,0.026676279740447,0.032,0.119402985074627
"35","JaMarcus Russell",31,25,"36725",354,680,52.1,4083,18,2.6,23,3.4,86,6,5,11.5,131.7,65.2,70,457,4.83,3.93,9.3,3,4,0,25,3,-18,0,493,797,52,21,6625,14,9,0.618569636135508,31,25,"2007","1","1","OAK",22,0.0263488080301129,0.034,0.709677419354839
"36","Brady Quinn",24,20,"36632",296,550,53.8,3043,12,2.2,17,3.1,59,5.5,4.6,10.3,126.8,64.4,41,236,4.75,3.86,6.9,1,2,0,5,2,-3,0,929,1602,95,39,11762,16,4,0.579900124843945,24,20,"2007","1","22","CLE",3,0.0243445692883895,0.031,0.125
"37","John Beck",9,7,"0-7-0",140,239,58.6,1417,3,1.3,7,2.9,32,5.9,4.9,10.1,157.4,67.6,26,153,4.77,3.81,9.8,0,0,0,10,2,-17,0,885,1418,79,34,11021,22,9,0.624118476727786,9,7,"2007","2","40","MIA",8,0.0239774330042313,0.029,0.888888888888889
"38","Drew Stanton",38,17,"36836",345,659,52.4,4059,20,3,24,3.6,87,6.2,5.1,11.8,106.8,66.3,38,226,5.5,4.52,5.5,4,4,0,8,1,0,0,543,847,42,28,6524,12,6,0.641086186540732,38,17,"2007","2","43","DET",7,0.0330578512396694,0.036,0.184210526315789
"39","Vince Young",60,50,"31-19-0",755,1304,57.9,8964,46,3.5,51,3.9,73,6.9,5.8,11.9,149.4,74.4,83,449,6.14,5.15,6,7,13,0,40,19,-56,0,444,718,44,28,6040,31,8,0.618384401114206,60,50,"2006","1","3","TEN",21,0.0389972144846797,0.039,0.35
"40","Jay Cutler",153,153,"74-79-0",3048,4920,62,35133,227,4.6,160,3.3,93,7.1,6.6,11.5,229.6,85.3,322,2035,6.31,5.81,6.1,23,28,0,95,32,-118,0,710,1242,59,36,8697,31,11,0.571658615136876,153,153,"2006","1","11","DEN",63,0.0289855072463768,0.033,0.411764705882353
"41","Kellen Clemens",64,21,"36751",350,638,54.9,4053,16,2.5,21,3.3,81,6.4,5.4,11.6,63.3,68.9,66,401,5.19,4.3,9.4,1,2,0,17,5,-16,0,613,1005,61,24,7555,18,8,0.609950248756219,64,21,"2006","2","49","NYJ",12,0.0238805970149254,0.033,0.1875
"42","Aaron Rodgers",149,142,"94-48-0",3188,4895,65.1,38502,313,6.4,78,1.6,93,7.9,8.4,12.1,258.4,103.8,363,2331,6.88,7.4,6.9,11,17,0,71,25,-66,0,424,665,43,13,5469,11,5,0.637593984962406,149,142,"2005","1","24","GNB",46,0.0195488721804511,0.016,0.308724832214765
"43","Jason Campbell",90,79,"32-47-0",1519,2518,60.3,16771,87,3.5,60,2.4,84,6.7,6.3,11,186.3,81.7,170,1096,5.83,5.47,6.3,7,10,0,52,18,-49,0,552,854,45,24,7299,14,6,0.646370023419204,90,79,"2005","1","25","WAS",34,0.0281030444964871,0.024,0.377777777777778
"44","Eli Manning",216,214,"111-103-0",4424,7396,59.8,51682,339,4.6,228,3.1,99,7,6.5,11.7,239.3,83.5,359,2468,6.35,5.9,4.6,26,35,0,115,22,-56,0,829,1363,81,35,10119,10,2,0.608217168011739,216,214,"2004","1","1","SDG",93,0.0256786500366838,0.031,0.430555555555556
"45","Philip Rivers",196,192,"106-86-0",4171,6492,64.2,50348,342,5.3,166,2.6,81,7.8,7.7,12.1,256.9,94.8,379,2288,6.99,6.9,5.5,23,27,0,99,36,-104,0,1087,1710,95,34,13484,10,1,0.635672514619883,196,192,"2004","1","4","NYG",63,0.0198830409356725,0.026,0.321428571428571
"46","Ben Roethlisberger",200,198,"135-63-0",4164,6493,64.1,51065,329,5.1,174,2.7,97,7.9,7.7,12.3,255.3,94,477,3147,6.87,6.7,6.8,29,39,0,91,29,-111,0,854,1304,83,34,10829,14,1,0.654907975460123,200,198,"2004","1","11","PIT",62,0.0260736196319018,0.027,0.31
"47","J.P. Losman",45,33,"36822",564,952,59.2,6271,33,3.5,34,3.6,87,6.6,5.7,11.1,139.4,75.6,108,789,5.17,4.35,10.2,3,6,0,35,12,-33,0,539,937,56,26,6267,10,2,0.575240128068303,45,33,"2004","1","22","BUF",23,0.0277481323372465,0.036,0.511111111111111
"48","Carson Palmer",182,181,"92-88-1",3941,6307,62.5,46247,294,4.7,187,3,91,7.3,6.9,11.7,254.1,87.9,340,2364,6.6,6.22,5.1,22,35,0,82,26,-63,0,743,1255,62,40,9423,4,0,0.59203187250996,182,181,"2003","1","1","CIN",56,0.0318725099601594,0.03,0.307692307692308
"49","Byron Leftwich",60,50,"24-26-0",930,1605,57.9,10532,58,3.6,42,2.6,84,6.6,6.1,11.3,175.5,78.9,92,452,5.94,5.51,5.4,7,10,0,35,8,-12,0,923,1417,89,26,11748,3,0,0.651376146788991,60,50,"2003","1","7","JAX",27,0.018348623853211,0.026,0.45
"50","Kyle Boller",67,47,"20-27-0",861,1519,56.7,8931,48,3.2,54,3.6,77,5.9,4.9,10.4,133.3,69.5,123,802,4.95,4.06,7.5,4,6,0,42,15,-57,0,522,1042,55,33,6677,7,0,0.500959692898273,67,47,"2003","1","19","BAL",27,0.0316698656429942,0.036,0.402985074626866
"51","Rex Grossman",54,47,"25-22-0",863,1562,55.2,10232,56,3.6,60,3.8,64,6.6,5.5,11.9,189.5,71.4,92,698,5.76,4.81,5.6,6,9,0,32,7,-19,0,677,1110,77,36,9164,3,0,0.60990990990991,54,47,"2003","1","22","CHI",25,0.0324324324324324,0.038,0.462962962962963
"52","David Carr",94,79,"23-56-0",1353,2267,59.7,14452,65,2.9,71,3.1,81,6.4,5.5,10.7,153.7,74.9,267,1564,5.09,4.34,10.5,7,11,0,71,31,-56,0,503,793,60,18,6646,0,0,0.634300126103405,94,79,"2002","1","1","HOU",40,0.0226986128625473,0.031,0.425531914893617
"53","Joey Harrington",81,76,"26-50-0",1424,2538,56.1,14693,79,3.1,85,3.3,86,5.8,4.9,10.3,181.4,69.4,124,770,5.23,4.39,4.7,6,7,0,25,6,-16,0,381,697,43,18,5108,0,0,0.546628407460545,81,76,"2002","1","3","DET",19,0.0258249641319943,0.033,0.234567901234568
"54","Patrick Ramsey",37,24,"36813",511,913,56,5930,35,3.8,30,3.3,72,6.5,5.8,11.6,160.3,74.9,79,520,5.45,4.8,8,0,2,0,28,5,-20,0,485,837,46,27,5768,0,0,0.579450418160096,37,24,"2002","1","32","WAS",23,0.032258064516129,0.033,0.621621621621622
"55","Josh Freeman",62,61,"25-36-0",1179,2048,57.6,13873,81,4,68,3.3,95,6.8,6.1,11.8,223.8,77.6,112,690,6.1,5.44,5.2,9,10,0,38,13,-47,0,680,1151,44,34,8078,0,0,59.1,62,61,"2009","1","17","TAM",25,0.0295395308427454,0.033,0.403225806451613
"56","Joe Flacco",154,154,"92-62-0",3267,5291,61.7,35780,200,3.8,130,2.5,95,6.8,6.4,11,232.3,84.1,317,2281,5.97,5.64,5.7,18,24,0,78,25,-80,0,NA,NA,NA,NA,NA,0,0,NA,154,154,"2008","1","18","BAL",53,NA,0.025,0.344155844155844
"57","Kevin Kolb",34,21,"36781",449,755,59.5,5206,28,3.7,25,3.3,83,6.9,6.1,11.6,153.1,78.9,77,517,5.64,4.96,9.3,4,3,0,19,1,-8,0,964,1565,85,31,12964,0,0,61.6,34,21,"2007","2","36","PHI",18,0.0198083067092652,0.033,0.529411764705882
"58","Tarvaris Jackson",59,34,"17-17-0",640,1073,59.6,7263,39,3.6,35,3.3,71,6.8,6,11.3,123.1,78.5,90,546,5.78,5.09,7.7,3,4,0,24,8,-35,0,17,48,1,3,196,0,0,35.4,59,34,"2006","2","64","MIN",16,0.0625,0.033,0.271186440677966
"59","Alex Smith",156,151,"88-62-1",2877,4613,62.4,31888,183,4,96,2.1,80,6.9,6.8,11.1,204.4,87.4,388,2203,5.94,5.8,7.8,18,22,0,69,25,-48,0,389,587,47,8,5203,0,0,66.3,156,151,"2005","1","1","SFO",44,0.0136286201022147,0.021,0.282051282051282
"60","Michael Vick",143,115,"61-51-1",1807,3217,56.2,22464,133,4.1,88,2.7,91,7,6.6,12.4,157.1,80.4,316,1879,5.83,5.46,8.9,14,15,0,98,25,-53,0,192,343,21,11,3299,0,0,56,143,115,"2001","1","1","ATL",73,0.032069970845481,0.027,0.510489510489511
"61","Drew Brees",249,248,"142-106-0",6222,9294,66.9,70445,488,5.3,228,2.5,98,7.6,7.5,11.3,282.9,96.7,378,2692,7.01,6.95,3.9,28,41,0,101,28,-111,0,1026,1678,90,45,11792,0,0,61.1,249,248,"2001","2","32","SDG",73,0.0268176400476758,0.025,0.293172690763052
"62","Quincy Carter",38,34,"18-16-0",542,960,56.5,6337,32,3.3,37,3.9,80,6.6,5.5,11.7,166.8,71.7,80,441,5.67,4.68,7.7,5,7,0,22,6,-28,0,483,853,35,25,6447,0,0,56.6,38,34,"2001","2","53","DAL",16,0.0293083235638921,0.039,0.421052631578947
"63","Chad Pennington",89,81,"44-37-0",1632,2471,66,17823,102,4.1,64,2.6,80,7.2,6.9,10.9,200.3,90.1,162,965,6.4,6.08,6.2,7,10,0,41,16,-51,0,848,1334,107,30,11446,0,0,63.6,89,81,"2000","1","18","NYJ",25,0.0224887556221889,0.026,0.280898876404494
"64","Tim Couch",62,59,"22-37-0",1025,1714,59.8,11131,64,3.7,67,3.9,79,6.5,5.5,10.9,179.5,75.1,166,1119,5.33,4.4,8.8,10,11,0,37,13,-37,0,795,1184,74,35,8435,0,0,67.1,62,59,"1999","1","1","CLE",24,0.0295608108108108,0.039,0.387096774193548
"65","Akili Smith",22,17,"36599",215,461,46.6,2212,5,1.1,13,2.8,46,4.8,3.7,10.3,100.5,52.8,59,327,3.63,2.69,11.3,1,1,0,19,4,-17,0,323,571,45,15,5148,0,0,56.6,22,17,"1999","1","3","CIN",15,0.0262697022767075,0.028,0.681818181818182
"66","Daunte Culpepper",105,100,"41-59-0",2016,3199,63,24153,149,4.7,106,3.3,82,7.6,7,12,230,87.8,298,1696,6.42,5.91,8.5,11,17,0,102,35,-81,0,721,1097,72,32,9341,0,0,65.7,105,100,"1999","1","11","MIN",67,0.0291704649042844,0.033,0.638095238095238
"67","Cade McNown",25,15,"36597",281,515,54.6,3111,16,3.1,19,3.7,80,6,5,11.1,124.4,67.7,45,263,5.09,4.13,8,0,1,0,14,6,-19,0,694,1250,68,41,10708,0,0,55.5,25,15,"1999","1","12","CHI",8,0.0328,0.037,0.32
